id,type,domain,enabled,date_added,date_modified,comment
1,3,(\.|^)*\.localytics\.com$,1,1589142025,1594237507,
2,3,^(.+[_.-])?ad[sxv]?[0-9]*[_.-],1,1589142032,1589142032,""
3,3,^(.+[_.-])?adse?rv(er?|ice)?s?[0-9]*[_.-],1,1589142041,1589142041,""
4,3,^(.+[_.-])?telemetry[_.-],1,1589142047,1589142047,""
5,3,^(www[0-9]*\.)?xn--,1,1589142055,1589142055,""
6,3,^adim(age|g)s?[0-9]*[_.-],1,1589143475,1589143475,""
7,3,^adtrack(er|ing)?[0-9]*[_.-],1,1589143572,1589143572,""
8,3,^advert(s|is(ing|ements?))?[0-9]*[_.-],1,1589143578,1589143578,""
9,3,^aff(iliat(es?|ion))?[_.-],1,1589143584,1589143584,""
10,3,^analytics?[_.-],1,1589143589,1589143589,""
11,3,^banners?[_.-],1,1589143595,1589143595,""
12,3,^beacons?[0-9]*[_.-],1,1589143604,1589143604,""
13,3,^count(ers?)?[0-9]*[_.-],1,1589143610,1589143610,""
14,3,^mads\.,1,1589143615,1589143615,""
15,3,^pixels?[-.],1,1589143620,1589143620,""
16,3,^stat(s|istics)?[0-9]*[_.-],1,1589143625,1589143625,""
17,3,^track(ers?|ing)?[0-9]*[_.-],1,1589143633,1589143633,""
19,2,(\.|^)bellco\.org$,1,1589143678,1589143678,""
20,2,(\.|^)apple\.com$,1,1589143694,1589143694,""
21,0,cdn.optimizely.com,1,1589143704,1589143704,""
22,2,(\.|^)forms\.gle$,1,1589143710,1589143710,""
23,0,incoming.telemetry.mozilla.org,1,1589143716,1589143716,""
24,2,(\.|^)fidelity\.com$,1,1589143726,1589143726,""
25,0,msftncsi.com,1,1589143736,1589143736,""
26,0,s3.amazonaws.com,1,1589143741,1589143741,""
27,2,(\.|^)foldingathome\.org$,1,1589143754,1589143754,""
29,0,tracking-protection.cdn.mozilla.net,1,1589143768,1589143768,""
31,0,tracker.dominos.com,1,1589143789,1589143789,""
32,3,(\.|^)xg4ken\.com$,1,1594237454,1594237491,
33,3,(\.|^)kenshoo\.com$,1,1594237468,1594237468,""
34,1,trk.pinterest.com,1,1594826920,1594826960,
35,1,graph.instagram.com,1,1594827008,1594827018,
36,0,tinyurl.com,1,1595254522,1595254522,"Added from Query Log"
38,0,phillateemis.iad-03.braze.com,1,1597812714,1597812714,"Added from Query Log"
39,1,ad.afy11.net,1,1598144221,1598144286,"Added from Query Log"
40,1,graph.facebook.com,1,1599340837,1599341016,
43,1,api.apptentive.com,1,1602914277,1602950367,"Added from Query Log"
44,0,improving.duckduckgo.com,0,1602950314,1602994498,"Added from Query Log"
45,1,prod-m-node-1211.ssp.advertising.com,1,1603245952,1603245952,
46,2,(\.|^)plex\.direct$,1,1607201269,1607201269,
